sdCd,sdNm,sggCd,sggNm
11,서울특별시,11110,종로구
11,서울특별시,11140,중구
11,서울특별시,11170,용산구
11,서울특별시,11200,성동구
11,서울특별시,11215,광진구
11,서울특별시,11230,동대문구
11,서울특별시,11260,중랑구
11,서울특별시,11290,성북구
11,서울특별시,11305,강북구
11,서울특별시,11320,도봉구
11,서울특별시,11350,노원구
11,서울특별시,11380,은평구
11,서울특별시,11410,서대문구
11,서울특별시,11440,마포구
11,서울특별시,11470,양천구
11,서울특별시,11500,강서구
11,서울특별시,11530,구로구
11,서울특별시,11545,금천구
11,서울특별시,11560,영등포구
11,서울특별시,11590,동작구
11,서울특별시,11620,관악구
11,서울특별시,11650,서초구
11,서울특별시,11680,강남구
11,서울특별시,11710,송파구
11,서울특별시,11740,강동구
